Pergunta,Criado em,Criado por,Frequência,Resumo da IA,Tags,Última atualização,Última edição,Última edição por
Atendem o terceiro setor?,5 de novembro de 2024 19:09,OSP Mkt,Alta,"Atendemos o terceiro setor, mas atualmente estamos em reestruturação e não estamos aceitando novas entidades.",Sobre Nós,8 de novembro de 2024 20:03,8 de novembro de 2024 20:03,OSP Mkt
Como é a estrutura da OSP?,7 de novembro de 2024 13:23,Juliana,Média,"A OSP tem sua matriz em Campinas e uma filial em São Paulo, contando atualmente com cerca de 60 colaboradores especializados em lucro real e presumido.",Sobre Nós,7 de novembro de 2024 13:24,7 de novembro de 2024 13:24,Juliana
Quanto tempo de experiência tem no lucro real?,8 de novembro de 2024 17:58,Juliana,Média,"A OSP possui 48 anos de experiência, sendo mais de 20 anos dedicados ao atendimento do Lucro Real.",Sobre Nós,8 de novembro de 2024 17:59,8 de novembro de 2024 17:59,Juliana
Vocês atendem o segmento de importação?,11 de novembro de 2024 17:37,Juliana,Média,"A empresa atende várias empresas do segmento de importação e oferece suporte com parceiros aduaneiros, podendo indicar um caso o cliente ainda não tenha um.",Sobre Nós,14 de novembro de 2024 17:11,14 de novembro de 2024 17:11,Juliana
Onde vocês estão localizados?,14 de novembro de 2024 17:09,Juliana,Alta,"A matriz da empresa está localizada em Campinas, e há uma filial em São Paulo.",Sobre Nós,18 de novembro de 2024 15:02,18 de novembro de 2024 15:02,Juliana
Qual o prazo para entrega de um estudo tributário?,19 de novembro de 2024 17:24,Juliana,Média,"O prazo para a entrega de um estudo tributário é de até 90 dias, podendo ser ajustado conforme a necessidade.",Produtos,19 de novembro de 2024 17:25,19 de novembro de 2024 17:25,Juliana
Vocês tem atendimento em inglês?,19 de novembro de 2024 17:25,Juliana,Média,"A empresa oferece atendimento em inglês, contando com contadores bilíngues e a possibilidade de entrega de relatórios em inglês, devido ao atendimento a multinacionais.",Sobre Nós,19 de novembro de 2024 17:26,19 de novembro de 2024 17:26,Juliana
Como funciona a migração?,22 de novembro de 2024 16:42,Juliana,Alta,"A migração envolve um aviso prévio de 30 dias com a contabilidade atual, durante o qual ocorre o onboarding, conectando as pessoas e organizando o processo com o contador atual para garantir que tudo esteja pronto quando a nova equipe começar a atuar.",Processo Comercial,22 de novembro de 2024 16:45,22 de novembro de 2024 16:45,Juliana
Como é feita a precificação da assessoria da OSP?,25 de novembro de 2024 17:16,Juliana,Média,"A precificação da assessoria da OSP considera a média de faturamento, a quantidade de funcionários e o volume de notas, além de identificar a mão de obra necessária de forma personalizada para cada empresa.","Negociação, Produtos",25 de novembro de 2024 17:20,25 de novembro de 2024 17:20,Juliana
"Como vocês recebem o material do cliente (notas fiscais, dados, informações)? ",26 de novembro de 2024 17:51,Juliana,Média,"O material do cliente, como notas fiscais e dados, pode ser enviado de forma integrada via sistema ou acessado através do sistema utilizado, podendo ser em formatos como PDF ou TXT, conforme o que for melhor para a empresa e o ERP utilizado.",Processo operacional,26 de novembro de 2024 17:57,26 de novembro de 2024 17:57,Juliana
Como é apresentado o estudo tributário?,27 de novembro de 2024 17:05,Juliana,Média,"O estudo tributário é apresentado em uma reunião que inclui a apresentação de resultados, simulações e a entrega de relatórios e da apresentação em si.",Produtos,12 de dezembro de 2024 13:18,12 de dezembro de 2024 13:18,Juliana
Quantas indústrias no lucro real vocês atendem?,12 de dezembro de 2024 13:16,Juliana,Baixa,"A OSP atende principalmente empresas no lucro real, com cerca de 250 indústrias, exceto aquelas que se beneficiam do lucro presumido.",Sobre Nós,12 de dezembro de 2024 13:18,12 de dezembro de 2024 13:18,Juliana
Como é feito o nosso atendimento?,12 de dezembro de 2024 13:19,Juliana,Alta,"O atendimento ao cliente é realizado por meio de WhatsApp, telefone, plataforma e e-mail.",Pós-venda,12 de dezembro de 2024 13:20,12 de dezembro de 2024 13:20,Juliana
Qual a diferença entre a contabilidade standard e consultiva?,12 de dezembro de 2024 13:20,Juliana,Alta,"A contabilidade standard foca na eficiência e conformidade, enquanto a contabilidade consultiva inclui serviços estratégicos e planejamento tributário contínuo para apoiar o crescimento.",Produtos,12 de dezembro de 2024 13:25,12 de dezembro de 2024 13:25,Juliana
A contabilidade para multinacionais como funciona?,12 de dezembro de 2024 13:26,Juliana,Baixa,"Oferecemos contabilidade standard e consultiva para multinacionais, com atendimento em inglês e responsabilidade pelos reports à matriz, seguindo normas e prazos exigidos.",Produtos,12 de dezembro de 2024 13:29,12 de dezembro de 2024 13:29,Juliana
Como funciona a entrega da contabilidade mensal?,12 de dezembro de 2024 13:29,Juliana,Média,"As informações contábeis são entregues por meio de relatórios e dashboards, com prazos estabelecidos para envio ao cliente e OSP, sempre respeitando os acordos feitos.",Processo operacional,24 de dezembro de 2024 10:41,24 de dezembro de 2024 10:41,Juliana
Qual o prazo de abertura de CNPJ?,12 de dezembro de 2024 13:32,Juliana,Média,"O prazo para abertura de empresas varia, sendo em média 60 dias com inscrição estadual, e pode chegar a 90 a 120 dias para empresas com sócio estrangeiro.",Processo operacional,12 de dezembro de 2024 13:34,12 de dezembro de 2024 13:34,Juliana
Para quem é indicado o estudo tributário?,20 de dezembro de 2024 11:40,Juliana,Alta,,Produtos,20 de dezembro de 2024 11:42,20 de dezembro de 2024 11:42,Juliana
Quantos clientes a OSP atende?,23 de dezembro de 2024 09:24,Juliana,Média,,Sobre Nós,23 de dezembro de 2024 09:25,23 de dezembro de 2024 09:25,Juliana
Como fazer a qualificação de um lead inbound?,23 de dezembro de 2024 09:25,Juliana,Baixa,,Processo Comercial,24 de dezembro de 2024 10:18,24 de dezembro de 2024 10:18,Juliana
Como funciona o processo de Follow Up?,24 de dezembro de 2024 10:18,Juliana,Baixa,,Follow up,24 de dezembro de 2024 10:19,24 de dezembro de 2024 10:19,Juliana
Cliente fechou a venda e agora?,24 de dezembro de 2024 10:19,Juliana,Média,,Processo Comercial,24 de dezembro de 2024 10:22,24 de dezembro de 2024 10:22,Juliana
Como e  feito o onboarding?,24 de dezembro de 2024 10:22,Juliana,Média,,Processo operacional,24 de dezembro de 2024 10:24,24 de dezembro de 2024 10:24,Juliana
É possível integrar o ERP do cliente ao nosso sistema?,24 de dezembro de 2024 10:25,Juliana,Média,,Processo operacional,24 de dezembro de 2024 10:25,24 de dezembro de 2024 10:25,Juliana
Como criar listas para leads Outbound?,24 de dezembro de 2024 10:25,Juliana,Baixa,,Processo Comercial,24 de dezembro de 2024 10:45,24 de dezembro de 2024 10:45,Juliana
Quantos funcionários a OSP tem?,24 de dezembro de 2024 10:45,Juliana,Média,,Sobre Nós,24 de dezembro de 2024 10:47,24 de dezembro de 2024 10:47,Juliana
Qual o tipo de assessoria que a OSP atende?,24 de dezembro de 2024 10:48,Juliana,Baixa,,"Produtos, Sobre Nós",24 de dezembro de 2024 10:54,24 de dezembro de 2024 10:54,Juliana
Como fazer a qualificação de um lead outbound?,24 de dezembro de 2024 10:55,Juliana,Baixa,,Processo Comercial,24 de dezembro de 2024 10:58,24 de dezembro de 2024 10:58,Juliana
Agendei a reunião e agora?,24 de dezembro de 2024 10:58,Juliana,Baixa,,Processo Comercial,24 de dezembro de 2024 11:01,24 de dezembro de 2024 11:01,Juliana
"O lead chegou o inbound e não é ICP, como fazer?",24 de dezembro de 2024 11:21,Juliana,Média,,Processo Comercial,24 de dezembro de 2024 11:23,24 de dezembro de 2024 11:23,Juliana
"Quero mudar para o Lucro Real, o que preciso ter?",24 de dezembro de 2024 11:25,Juliana,Média,,Produtos,24 de dezembro de 2024 11:28,24 de dezembro de 2024 11:28,Juliana
"O cliente quer fechar uma proposta e pediu desconto, o que fazer?",24 de dezembro de 2024 11:28,Juliana,Alta,,Negociação,24 de dezembro de 2024 11:32,24 de dezembro de 2024 11:32,Juliana
Como são feitos os reports para as multinacionais?,24 de dezembro de 2024 11:40,Juliana,Média,,Processo operacional,24 de dezembro de 2024 11:43,24 de dezembro de 2024 11:43,Juliana
Qual o sistema que a OSP usa?,24 de dezembro de 2024 11:48,Juliana,Média,,Processo operacional,24 de dezembro de 2024 11:52,24 de dezembro de 2024 11:52,Juliana
"Tenho um ERP com módulo contábil (exemplo Protheus, SAP), vocês consegue integrar?",24 de dezembro de 2024 11:52,Juliana,Média,,Processo operacional,24 de dezembro de 2024 11:53,24 de dezembro de 2024 11:53,Juliana