ICP,Nome do Modelo,URL,Categoria,Status de Revisão,Ano,Data
Lucro Real,Contabilidade para Lucro Real - Modelo 2025,https://docs.google.com/document/d/1_qGlJE7dQTaPRIzK6pvrpfeIi0daflsQogrhaAx5h5M/edit?tab=t.0,Escopo de Produto,Em andamento,2025,23/12/2024
Indústrias,Contabilidade Consultiva - Indústrias,https://docs.google.com/document/d/18fuDLg-e1VuglYtAmfGaprW5c5k11zH3Hv-bEHyKgvc/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Geral,Sobre nós - EN,https://docs.google.com/document/d/1xiSGb1brogSgI_zZdOau85rXkOj3B4z8KZFd7N7cu8o/edit?tab=t.0,Apresentação,Não iniciada,2025,
Multinacionais,PT - Sobre nós (multinacionais),https://docs.google.com/document/d/1O9mdc93o4evHyyzvtrrA9EWuygzUGsavsjCf8yEbDKk/edit?tab=t.0,Apresentação,Não iniciada,2024,
Geral,Sobre nós - PT,https://docs.google.com/document/d/12svc2pU6uexH6jcfhKr9xfun8TRjMGxxJ5OPevzIY_U/edit?tab=t.0,Apresentação,Não iniciada,2025,
Indústrias,Consultoria 360 - Gestão e Inteligência Industrial,https://docs.google.com/document/d/1J5GIpqjC5xDOGTVVk4lNBmUWs4-UfF0MI56ncZMb2ec/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Indústrias,Abertura de empresa e Contabilidade mensal indústria,https://docs.google.com/document/d/1AtBjqmDBrfipycUPuM12infjQMKZbpE9g2olArS29R0/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Indústrias,Contabilidade Mensal - Construtoras e Incorporadoras,https://docs.google.com/document/d/1LH8JcQftRWcKjxB4nCiKpSzOWE22E4DcS4XA84wQ6xI/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Indústrias,Contabilidade Mensal - Indústrias,https://docs.google.com/document/d/1eOOCnrdpvahl5IOr7VH7x07acOiR8rAnPXwEvBtMDUY/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Indústrias,Gestão Estratégica de Negócio,https://docs.google.com/document/d/1UyrSMEKlB5wR0DoX1ra40h5I157Zp5shCMBGcMQVkog/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Indústrias,BPO Financeiro - Indústrias,https://docs.google.com/document/d/1qp6BFcOl9P85j4M_70LnsoOaCKkuIr3_Xmwqo-qUySo/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Indústrias,Análise de Tributação - Indústrias,https://docs.google.com/document/d/12TCGzNxczk11T9DkGA9l2NRkH3yHHzoyL6ZQiooKJNo/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Indústrias,Abertura de Holding e Contabilidade Mensal,https://docs.google.com/document/d/1DdKw0472bSQBWi7DNWmNonT_Li8V97cpTcljU15F1ew/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Terceiro Setor,Contabilidade Consultiva - Terceiro Setor,https://docs.google.com/document/d/173mFVUyLT0j9a8kbORCZVH-_n-ot9xl2bEhu8hN0qEE/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Serviços,Contabilidade Consultiva- Serviços,https://docs.google.com/document/d/1tWwyvCSnyuTHj2DyNLW1nSdrh9gRNdpASWH2UQsIadQ/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Serviços,Abertura de empresa e contabilidade mensal - Serviços,https://docs.google.com/document/d/1AAjr5hJvCW4uFS5or8z5dsAtfDyXTvzEhAXYSqFmMJM/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Serviços,Contabilidade Mensal - Serviços,https://docs.google.com/document/d/1d2e2mjQAYiu3erH_B4rT89BD1d2tZNt5slFM-bX83LE/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Serviços,Estratégia de Negócio e Governança Contábil - Construtora e Incorporadora,https://docs.google.com/document/d/1i_xoVQcHtKp5wC6ZYSP_8EqcOobUdznmc9AYhip_jyg/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Serviços,Contabilidade Mensal - Serviços Advocatícios,https://docs.google.com/document/d/1tTafdJu4rK3BwIh7HypmpoSKL4Ryu8l86qpTxa1aRqk/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Serviços,Contabilidade Consultiva - Construtora e Incorporadora,https://docs.google.com/document/d/1DmksKQLwAo5aT0p1QJHKgTKL2V59c2qqUEWJcavCBN0/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Serviços,Sobre nós,https://docs.google.com/document/d/12svc2pU6uexH6jcfhKr9xfun8TRjMGxxJ5OPevzIY_U/edit?tab=t.0,Apresentação,Não iniciada,2024,
Multinacionais,EN - Accounting Service for Multinacional,https://docs.google.com/document/d/1ueqFBXFujBHBmJOjzKUiDn38qN6ipQeCoTNBsI8utgE/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Multinacionais,"EN - Company Incorporation, Accounting Services and Financial BPO for Multinacional",https://docs.google.com/document/d/1RoLMZGeHL5bhE_jgIhbAB_4URYQvUPW5jiAJnwjyplQ/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Multinacionais,"EN - Legal Assistance EN - Multinacionals ",https://docs.google.com/document/d/14wKpCxu1lMl5VGSY-RBhpQmX3_kJNL0rwcwdcYT5BnE/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Multinacionais,"PT - Constituição de empresa com Suporte Jurídico, Contabilidade Consultiva e BPO  Financeiro - Multinacionais",https://docs.google.com/document/d/1L7HxzuqxpVICfa8DRzjkHmTFOzvXMtIsUwo1Bl16Mgs/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Multinacionais,PT - Contabilidade Consultiva - Multinacionais,https://docs.google.com/document/d/1wEuhETs4B0hqHoEkQKMUvYv7O5B25ZykMWcThujTXhI/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Multinacionais,PT - Constituição de empresa com Suporte Jurícidio - Multinacionais,https://docs.google.com/document/d/1wTqjiF3QQMd05hWpJjeYXicaetC-VUW9jUG-8AzIqFg/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Multinacionais,PT - Transfer Pricing - Multinacionais,https://docs.google.com/document/d/1otUt7ZBnTtXWCZXFzh_lXedJ1DOyMddeWejr7QrUSY0/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Multinacionais,PT - Contabilidade Mensal - Multinacionais,https://docs.google.com/document/d/1c5X_BSkbLrultU5B9Qq4NcKWwiIc2B8qHYAwX7wVuYM/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Standard - Comércio,https://docs.google.com/document/d/1qGPHWa2Q1DY9oEtbl2U_ddHgdlJmGb4rMEJ4cnpHk8Y/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Mensal - Contabilidade Mensal Transportadora Lucro Real,https://docs.google.com/document/d/1NoknYCwomFP5GDreNCLbuetkgc9G2CXhWUaZl-5J-oY/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Consultiva - Comércio,https://docs.google.com/document/d/1dk9BVxrto1F4vKthe2wTf1vZzT6PQJRYatpYFraz_xg/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Consultiva - Ecommerce,https://docs.google.com/document/d/1xbp4AMECmkTXVpEep3xVSLpF4zDi_dBNOIh0IGAdP7g/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Contabilidade Consultiva - Transportadoras,https://docs.google.com/document/d/1zNA2dSd8_xxG_nyufTtV2IhKsPxcoEmB7Uj4MVaqQSA/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Abertura de Empresa e Contabilidade Mensal,https://docs.google.com/document/d/1Lu7fKORDvT9O0MtDghdBd-rkO4RcC1t-y4-4j_YHzng/edit?tab=t.0,Escopo de Produto,Não iniciada,2024,
Comércio,Sobre Nós,https://docs.google.com/document/d/12svc2pU6uexH6jcfhKr9xfun8TRjMGxxJ5OPevzIY_U/edit?tab=t.0,Apresentação,Não iniciada,2024,
Recuperação Tributária,Torus - Recuperação Tributária,https://docs.google.com/presentation/d/1Pre7O1oZJKvtP94IgLx72GnDf-UsNtfaXMTtSkuJZK4/edit#slide=id.g1d699c3164e_0_0,Escopo de Produto,Não iniciada,2024,
Simples Nacional ou Lucro Presumido,Contabilidade para Simples e Presumido - MODELO DE PROPOSTA 2025,https://docs.google.com/document/d/1IBc1tr3nwvkKcX7B2HkfVDjuu4bA1LbRwq-c4mJhLAo/edit?tab=t.0,Escopo de Produto,Não iniciada,2025,
Geral,BPO Financeiro - 2025,https://docs.google.com/document/d/1mItydETdFtIa2jCer5mELShu4y68rsGn94CwJyhZT5U/edit?tab=t.0#heading=h.b1wptz6irnhx,Escopo de Produto,Não iniciada,2025,
Multinacionais,Business Proposal for Establishing a Company in Brazil - 2025,https://docs.google.com/document/d/1SRkFoBV2mxWs32W6P-jpP7jLfw1nfD6Z534AJC0gats/edit?tab=t.0#heading=h.3jmkfigaworv,Escopo de Produto,Não iniciada,2025,
Multinacionais,Commercial Proposal for Monthly Accounting for Multinational Companies - 2025,https://docs.google.com/document/d/1OafQO3WXVjmpsYmriD5WJJ6Ei8YDQrZri12_s_uYw4w/edit?tab=t.0#heading=h.l26pvgdwofii,Escopo de Produto,Não iniciada,2025,
Multinacionais,Financial BPO - 2025,https://docs.google.com/document/d/1TeuYivbHhWL9Zn0lziKbOQQI-yQZateoQULl7l0GI-g/edit?tab=t.0#heading=h.ks7a1862fe5e,Escopo de Produto,Não iniciada,2025,
Geral,Holding Familiar Simplificada - 2025,https://docs.google.com/document/d/11fcPaSUz4iP689Y3K_5J0UNPKdyd2dQdmVtsPLARx6E/edit?tab=t.0#heading=h.flbhcb8vn86,Escopo de Produto,Não iniciada,2025,
Geral,Planejamento Sucessório e Holding Familiar - 2025,https://docs.google.com/document/d/1xzv-x4LNDfYjFrphRJYM0zhlUJov0CBqO70o97wPqO8/edit?tab=t.0#heading=h.78cbdgv093zm,Escopo de Produto,Não iniciada,2025,
Geral,Abertura de Empresa - 2025,https://docs.google.com/document/d/1y7YHHal_l5LUzKqXYDJHidkohiOojzcdt-4FG7jY6iQ/edit?tab=t.0#heading=h.bpbt6b2vk7ud,Escopo de Produto,Não iniciada,2025,
Multinacionais,Abertura de Empresa no Brasil - 2025,https://docs.google.com/document/d/1vUmDML_Ra2neNtlW-9JZQcCKNx4uQp1FinV9PNs6CMQ/edit?tab=t.0#heading=h.4xlc5g4a9qw0,Escopo de Produto,Não iniciada,2025,
Multinacionais,Contabilidade Mensal para Empresas Multinacionais - 2025,https://docs.google.com/document/d/1RBgiL9Hodry7LEApDJNUWcVJWOeH8ltXltkuY3BpiF8/edit?tab=t.0#heading=h.8kuce33r7qhp,Escopo de Produto,Não iniciada,2024,