Nome,Editado por último por,Resumo por IA,Setor,Status,Tags
Playbook de Vendas,1 de outubro de 2025 16:09,,Comercial,Concluído,"Fundamentos, Gestão Estratégica"
"Como trabalhar o ICP ",26 de novembro de 2024 18:29,,Comercial,Concluído,Passo a passo
Prospecção Outbound,26 de novembro de 2024 18:29,,Comercial,Concluído,"Fundamentos, Gestão Estratégica"
Fluxo de Cadência,26 de novembro de 2024 18:29,,Comercial,Concluído,Fundamentos
Rotina - Gestor de Mkt e Comercial,24 de março de 2025 19:42,,"Comercial, Marketing",Concluído,"Gestão Estratégica, Rotina"
Roteiro Call Guide,26 de novembro de 2024 18:29,,Comercial,Concluído,Passo a passo
"Passagem de Bastão ",3 de dezembro de 2024 14:48,,Comercial,Concluído,"Administrativo, Gestão Estratégica"
Processo de Produção de Conteúdo,26 de novembro de 2024 18:29,,Marketing,Concluído,"Conteúdo, Gestão Estratégica"
"Relatório de Comissões da Pré-venda ",26 de novembro de 2024 18:29,,Comercial,Concluído,"Administrativo, Passo a passo"
Rotina - Pré-venda,26 de novembro de 2024 18:29,,Comercial,Concluído,"Gestão Estratégica, Rotina"
Rotina - Redator,26 de novembro de 2024 18:29,,Marketing,Concluído,"Gestão Estratégica, Rotina"
Processo de Vendas: Sales Engagement,26 de novembro de 2024 18:29,,Comercial,Concluído,"Fundamentos, Gestão Estratégica"
Processo seletivo: Redator,26 de novembro de 2024 18:29,,Recrutamento e Seleção,Concluído,"Gestão Estratégica, Passo a passo"
Content Model - Gary Vee,26 de novembro de 2024 18:29,,Marketing,Concluído,"Conteúdo, Fundamentos"
Checklist para Redator,26 de novembro de 2024 18:29,,Marketing,Concluído,"Blog, Passo a passo"
Como escrever um artigo em 3 etapas,26 de novembro de 2024 18:29,,Marketing,Concluído,"Blog, Passo a passo"
Dotcom Secrets - Russell Brunson,26 de novembro de 2024 18:29,,Marketing,Concluído,"Fundamentos, Funil"
SEO Holístico,26 de novembro de 2024 18:29,,Marketing,Concluído,Blog
Processo de Conteúdo para Blog,26 de novembro de 2024 18:29,,Marketing,Concluído,"Blog, Conteúdo, Fundamentos"
Como aplicar a Legibilidade SEO,26 de novembro de 2024 18:29,,Marketing,Concluído,Blog
Fichamento Content Model - Gary Vee,26 de novembro de 2024 18:29,,Marketing,Concluído,"Conteúdo, Fundamentos"
Processo Detailed SEO,26 de novembro de 2024 18:29,,Marketing,Concluído,"Blog, Fundamentos"
Checklist para Otimização blog post,26 de novembro de 2024 18:29,,Marketing,Concluído,"Blog, Checklist"
Estrutura de texto para blog,26 de novembro de 2024 18:29,,Marketing,Concluído,"Blog, Modelo"
Como escrever conteúdo de qualidade,26 de novembro de 2024 18:29,,Marketing,Concluído,"Blog, Conteúdo"
Lista Palavras de Transição,26 de novembro de 2024 18:29,,Marketing,Concluído,"Blog, Conteúdo"
"Hook, Story, Offer - Russell Brunson",28 de novembro de 2024 07:41,"O documento aborda o conceito de ""Gancho, História e Oferta"" de Russell Brunson, destacando a importância de capturar a atenção do cliente, conectar-se emocionalmente através de histórias e apresentar uma oferta irresistível. O gancho deve resolver uma dor do cliente, a história deve levar à epifania sobre a solução proposta, e a oferta deve ser clara, convincente e incluir uma chamada para ação forte.",Marketing,Concluído,"Fundamentos, Funil"
Processo para Atualização de Fotos,27 de agosto de 2025 20:42,,Marketing,Em andamento,Conteúdo
Roteiro de Pré-qualificação via WhatsApp,12 de setembro de 2025 08:36,,Comercial,Não iniciado,"Passo a passo, Rotina"