Sprint e Objetivo,Data prevista**,Pessoa,Status
"Sprint 4: Criar Materiais de Apoio para Venda ",16 de setembro de 2024 → 20 de setembro de 2024,,Não iniciada
Sprint 6: Criar funil de email de Nutrição para leads Comercial,30 de setembro de 2024 → 4 de outubro de 2024,,Não iniciada
Sprint 3: Revisar e atualizar estes artigos não publicados,10 de setembro de 2024 → 13 de setembro de 2024,,Não iniciada
Sprint 2: Fazer o SEO copywriting das páginas de Serviços do site,4 de setembro de 2024 → 9 de setembro de 2024,,Não iniciada
9️⃣ Sprint 9: Atualizar parte descritiva dos processos do Notion e Drive,26 de agosto de 2024 → 8 de novembro de 2024,,Não iniciada
Processo Seletivo,20 de agosto de 2024,OSP Mkt,Concluído
Sprint 5: Criar linha editorial para Instagram,18 de setembro de 2024 → 20 de setembro de 2024,,Não iniciada
Sprint 4: Criar linha editorial com posts para LinkedIn,23 de setembro de 2024 → 25 de setembro de 2024,,Não iniciada
Sprint 8: Roteirizar 10 videos para Youtube,14 de outubro de 2024 → 31 de outubro de 2024,,Não iniciada
Sprint 1: Onboarding e treinamento,30 de agosto de 2024 → 6 de setembro de 2024,OSP Mkt,Concluído
Sprint 10: Definir Pautas e montar calendário de Conteúdo,,,Em andamento
Sprint 7: Criar funil de email para Novos Clientes,7 de outubro de 2024 → 11 de outubro de 2024,,Não iniciada