Status,Nome,Setor,Tags,Resumo por IA,Editado por último por
Concluído,"Hook, Story, Offer - Russell Brunson",Marketing,"Fundamentos, Funil","O documento aborda o conceito de ""Gancho, História e Oferta"" de Russell Brunson, destacando a importância de capturar a atenção do cliente, conectar-se emocionalmente através de histórias e apresentar uma oferta irresistível. O gancho deve resolver uma dor do cliente, a história deve levar à epifania sobre a solução proposta, e a oferta deve ser clara, convincente e incluir uma chamada para ação forte.",28 de novembro de 2024 07:41
Concluído,Fichamento Content Model - Gary Vee,Marketing,"Conteúdo, Fundamentos",,26 de novembro de 2024 18:29
Concluído,Dotcom Secrets - Russell Brunson,Marketing,"Fundamentos, Funil",,26 de novembro de 2024 18:29
Concluído,Content Model - Gary Vee,Marketing,"Conteúdo, Fundamentos",,26 de novembro de 2024 18:29
Concluído,SEO Holístico,Marketing,Blog,,26 de novembro de 2024 18:29
Concluído,Processo de Conteúdo para Blog,Marketing,"Blog, Conteúdo, Fundamentos",,26 de novembro de 2024 18:29
Concluído,Checklist para Redator,Marketing,"Blog, Passo a passo",,26 de novembro de 2024 18:29
Concluído,Como escrever conteúdo de qualidade,Marketing,"Blog, Conteúdo",,26 de novembro de 2024 18:29
Concluído,Como escrever um artigo em 3 etapas,Marketing,"Blog, Passo a passo",,26 de novembro de 2024 18:29
Concluído,Estrutura de texto para blog,Marketing,"Blog, Modelo",,26 de novembro de 2024 18:29
Concluído,Lista Palavras de Transição,Marketing,"Blog, Conteúdo",,26 de novembro de 2024 18:29
Concluído,Como aplicar a Legibilidade SEO,Marketing,Blog,,26 de novembro de 2024 18:29
Concluído,Checklist para Otimização blog post,Marketing,"Blog, Checklist",,26 de novembro de 2024 18:29
Concluído,Processo Detailed SEO,Marketing,"Blog, Fundamentos",,26 de novembro de 2024 18:29
Concluído,Processo de Produção de Conteúdo,Marketing,"Conteúdo, Gestão Estratégica",,26 de novembro de 2024 18:29
Concluído,Playbook de Vendas,Comercial,"Fundamentos, Gestão Estratégica",,1 de outubro de 2025 16:09
Concluído,"Passagem de Bastão ",Comercial,"Administrativo, Gestão Estratégica",,3 de dezembro de 2024 14:48
Concluído,"Relatório de Comissões da Pré-venda ",Comercial,"Administrativo, Passo a passo",,26 de novembro de 2024 18:29
Concluído,Processo de Vendas: Sales Engagement,Comercial,"Fundamentos, Gestão Estratégica",,26 de novembro de 2024 18:29
Concluído,Fluxo de Cadência,Comercial,Fundamentos,,26 de novembro de 2024 18:29
Concluído,"Como trabalhar o ICP ",Comercial,Passo a passo,,26 de novembro de 2024 18:29
Concluído,Prospecção Outbound,Comercial,"Fundamentos, Gestão Estratégica",,26 de novembro de 2024 18:29
Concluído,Roteiro Call Guide,Comercial,Passo a passo,,26 de novembro de 2024 18:29
Concluído,Rotina - Pré-venda,Comercial,"Gestão Estratégica, Rotina",,26 de novembro de 2024 18:29
Concluído,Rotina - Redator,Marketing,"Gestão Estratégica, Rotina",,26 de novembro de 2024 18:29
Concluído,Processo seletivo: Redator,Recrutamento e Seleção,"Gestão Estratégica, Passo a passo",,26 de novembro de 2024 18:29
Concluído,Rotina - Gestor de Mkt e Comercial,"Comercial, Marketing","Gestão Estratégica, Rotina",,24 de março de 2025 19:42
Em andamento,Processo para Atualização de Fotos,Marketing,Conteúdo,,27 de agosto de 2025 20:42
Não iniciado,Roteiro de Pré-qualificação via WhatsApp,Comercial,"Passo a passo, Rotina",,12 de setembro de 2025 08:36