Lista de páginas,Pessoa,Prazo,Status
Migração do Simples Nacional para LR ou LP,,,
Gestão Estratégica de Negócio,OSP Mkt,,Concluído
Suporte para Fusoes e Aquisiçoes,OSP Mkt,,Concluído
Contabilidade Mensal,OSP Mkt,,Concluído
Recrutamento e seleção,,,
Revisão/Recuperação Tributária,,,
Transfer Pricing,,,
Especialista alocado dentro do seu Negócio,,,
Assessoria para Importação e exportação,,,
Planejamento e Proteção Patrimonial,,,
Abertura de empresa Lucro Real e Lucro Presumido,,,
Contabilidade online,,,
Contabilidade Consultiva,OSP Mkt,,Concluído