2025,META 1,META BÔNUS,Mês,RECORRÊNCIA,STATUS META BÔNUS,STATUS META1,Status,TOTAL VENDAS,Trimestre
Janeiro,"R$ 25.000,00","R$ 30.000,00",Janeiro,"R$ 38.150,00","R$ 8.150,00","R$ 13.150,00",Concluído,"R$ 38.150,00",Q1
Fevereiro,"R$ 25.000,00","R$ 30.000,00",Fevereiro,"R$ 5.000,00","-R$ 25.000,00","-R$ 20.000,00",Concluído,"R$ 8.000,00",Q1
Março,"R$ 25.000,00","R$ 30.000,00",Março,"R$ 20.500,00","-R$ 9.500,00","-R$ 4.500,00",Concluído,"R$ 48.350,00",Q1
Abril,"R$ 25.000,00","R$ 30.000,00",Abril,"R$ 19.000,00","-R$ 11.000,00","-R$ 6.000,00",Concluído,"R$ 37.000,00",Q2
Maio,"R$ 25.000,00","R$ 30.000,00",Maio,"R$ 25.100,00","-R$ 4.900,00","R$ 100,00",Concluído,"R$ 31.100,00",Q2
Junho,"R$ 25.000,00","R$ 30.000,00",Junho,"R$ 24.570,00","-R$ 5.430,00","-R$ 430,00",Concluído,"R$ 40.770,00",Q2
Julho,"R$ 25.000,00","R$ 30.000,00",Julho,"R$ 12.000,00","-R$ 18.000,00","-R$ 13.000,00",Concluído,"R$ 22.000,00",Q3
Agosto,"R$ 25.000,00","R$ 30.000,00",Agosto,"R$ 29.800,00","-R$ 200,00","R$ 4.800,00",Concluído,"R$ 77.000,00",Q3
Setembro,"R$ 30.000,00","R$ 35.000,00",Setembro,"R$ 98.000,00","R$ 63.000,00","R$ 68.000,00",Concluído,"R$ 157.000,00",Q3
Outubro,"R$ 30.000,00","R$ 40.000,00",Outubro,"R$ 29.500,00","-R$ 10.500,00","-R$ 500,00",Concluído,"R$ 122.650,00",Q4
Novembro,"R$ 30.000,00","R$ 40.000,00",Novembro,,"-R$ 40.000,00","-R$ 30.000,00",Não iniciado,,Q4
Dezembro,"R$ 30.000,00","R$ 40.000,00",Dezembro,,"-R$ 40.000,00","-R$ 30.000,00",Não iniciado,,Q4